png 120 60 hw3sunbulb.png
eye -1.1 -1 -1
forward 0.4 0.4 0.4
sun -1 0 0             1 0 0
bulb -1.5  1.5 -1.5   .2 .2 .2
bulb  1.5 -1.5 -1.5   .2 .2 .2
bulb -1.5 -1.5  1.5   .2 .2 .2
bulb  1.5  1.5  1.5   .2 .2 .2
sphere 0 0 -1    0.2  1 1 1
sphere 0.3 0 -1  0.3  1 1 1
sphere 0 0.3 -1  0.4  1 1 1
sphere -2 -2 -2  0.8  1 1 1
sphere  2 -2 -2  0.8  1 1 1
sphere -2  2 -2  0.8  1 1 1
sphere  2  2 -2  0.8  1 1 1
sphere -2 -2  2  0.8  1 1 1
sphere  2 -2  2  0.8  1 1 1
sphere -2  2  2  0.8  1 1 1
sphere  2  2  2  0.8  1 1 1
